sell,-0.00040173914339902694,EPC
buy,0.020993287027334162,26.479999542236328,DAO
buy,9.385875692657919e-06,53.1150016784668,TCO
buy,0.014997742757550725,38.025001525878906,EPC
sell,4.692937849881673e-06,TCO
sell,0.02999795585142806,EPC
buy,2.3464689249408366e-06,53.1150016784668,TCO
buy,0.03412283792258819,27.0,DAO
buy,0.049998825337823405,38.13999938964844,EPC
sell,1.173234466023132e-06,TCO
sell,0.10706157154918472,DAO
sell,0.030000480784146077,EPC
