date,1. open,2. high,3. low,4. close,5. volume
2020-02-10 13:47:00,53.115,53.12,53.11,53.115,27873.0
2020-02-10 13:48:00,53.12,53.12,53.11,53.12,13939.0
2020-02-10 13:49:00,53.12,53.12,53.11,53.12,7453.0
2020-02-10 13:50:00,53.12,53.12,53.11,53.12,9077.0
2020-02-10 13:51:00,53.12,53.12,53.11,53.115,8828.0
2020-02-10 13:52:00,53.115,53.12,53.1134,53.12,14828.0
2020-02-10 13:53:00,53.12,53.12,53.11,53.115,26767.0
2020-02-10 13:54:00,53.12,53.12,53.11,53.12,31910.0
2020-02-10 13:55:00,53.12,53.12,53.11,53.115,11354.0
2020-02-10 13:56:00,53.11,53.12,53.11,53.115,5012.0
2020-02-10 13:57:00,53.115,53.12,53.11,53.115,14091.0
2020-02-10 13:58:00,53.12,53.12,53.11,53.115,5209.0
2020-02-10 13:59:00,53.115,53.12,53.11,53.11,10327.0
2020-02-10 14:00:00,53.12,53.12,53.11,53.11,19215.0
2020-02-10 14:01:00,53.11,53.12,53.11,53.12,6960.0
2020-02-10 14:02:00,53.12,53.12,53.11,53.115,5281.0
2020-02-10 14:03:00,53.11,53.12,53.11,53.115,22571.0
2020-02-10 14:04:00,53.11,53.12,53.11,53.115,12681.0
2020-02-10 14:05:00,53.115,53.12,53.1,53.105,198197.0
2020-02-10 14:06:00,53.11,53.11,53.1,53.1,17715.0
2020-02-10 14:07:00,53.105,53.105,53.1,53.1,4367.0
2020-02-10 14:08:00,53.1,53.105,53.1,53.105,7965.0
2020-02-10 14:09:00,53.105,53.11,53.1,53.1,13543.0
2020-02-10 14:10:00,53.1,53.11,53.1,53.11,42183.0
2020-02-10 14:11:00,53.105,53.11,53.08,53.095,75266.0
2020-02-10 14:12:00,53.09,53.1,53.09,53.095,12900.0
2020-02-10 14:13:00,53.095,53.1,53.09,53.095,12166.0
2020-02-10 14:14:00,53.1,53.1,53.09,53.1,5994.0
2020-02-10 14:15:00,53.09,53.1,53.09,53.1,725853.0
2020-02-10 14:16:00,53.11,53.11,53.11,53.11,10126.0
2020-02-10 14:17:00,53.11,53.12,53.1,53.115,257054.0
2020-02-10 14:18:00,53.12,53.12,53.11,53.12,55855.0
2020-02-10 14:19:00,53.12,53.12,53.11,53.12,30525.0
2020-02-10 14:20:00,53.12,53.12,53.11,53.12,6357.0
2020-02-10 14:21:00,53.12,53.13,53.11,53.125,62740.0
2020-02-10 14:22:00,53.13,53.13,53.12,53.125,4566.0
2020-02-10 14:23:00,53.125,53.13,53.12,53.125,7087.0
2020-02-10 14:24:00,53.125,53.13,53.12,53.13,12805.0
2020-02-10 14:25:00,53.13,53.13,53.12,53.13,3848.0
2020-02-10 14:26:00,53.1236,53.13,53.12,53.12,20756.0
2020-02-10 14:27:00,53.12,53.125,53.12,53.12,13885.0
2020-02-10 14:28:00,53.12,53.125,53.12,53.12,9799.0
2020-02-10 14:29:00,53.125,53.13,53.11,53.125,40038.0
2020-02-10 14:30:00,53.13,53.13,53.12,53.12,6257.0
2020-02-10 14:31:00,53.12,53.13,53.12,53.12,19209.0
2020-02-10 14:32:00,53.12,53.13,53.115,53.12,42059.0
2020-02-10 14:33:00,53.12,53.125,53.12,53.12,9627.0
2020-02-10 14:34:00,53.125,53.13,53.12,53.12,12616.0
2020-02-10 14:35:00,53.13,53.13,53.12,53.125,57750.0
2020-02-10 14:36:00,53.12,53.125,53.12,53.125,37572.0
2020-02-10 14:37:00,53.125,53.13,53.12,53.1233,32893.0
2020-02-10 14:38:00,53.125,53.13,53.12,53.125,6347.0
2020-02-10 14:39:00,53.125,53.13,53.12,53.1241,7924.0
2020-02-10 14:40:00,53.12,53.13,53.12,53.12,8899.0
2020-02-10 14:41:00,53.12,53.13,53.12,53.125,10797.0
2020-02-10 14:42:00,53.125,53.125,53.12,53.12,11769.0
2020-02-10 14:43:00,53.125,53.13,53.12,53.13,15524.0
2020-02-10 14:44:00,53.125,53.125,53.12,53.125,4905.0
2020-02-10 14:45:00,53.125,53.13,53.12,53.12,6359.0
2020-02-10 14:46:00,53.12,53.125,53.12,53.125,11995.0
2020-02-10 14:47:00,53.125,53.13,53.12,53.125,8809.0
2020-02-10 14:48:00,53.125,53.13,53.12,53.125,44070.0
2020-02-10 14:49:00,53.125,53.13,53.12,53.13,75691.0
2020-02-10 14:50:00,53.13,53.13,53.12,53.125,25391.0
2020-02-10 14:51:00,53.128,53.13,53.12,53.125,6315.0
2020-02-10 14:52:00,53.125,53.13,53.12,53.12,37723.0
2020-02-10 14:53:00,53.12,53.125,53.12,53.12,9710.0
2020-02-10 14:54:00,53.125,53.13,53.12,53.12,53961.0
2020-02-10 14:55:00,53.125,53.13,53.12,53.121,6764.0
2020-02-10 14:56:00,53.125,53.13,53.12,53.13,10130.0
2020-02-10 14:57:00,53.13,53.13,53.12,53.12,12841.0
2020-02-10 14:58:00,53.125,53.13,53.12,53.13,5486.0
2020-02-10 14:59:00,53.125,53.13,53.12,53.13,5962.0
2020-02-10 15:00:00,53.13,53.13,53.12,53.13,13638.0
2020-02-10 15:01:00,53.13,53.13,53.12,53.12,7335.0
2020-02-10 15:02:00,53.125,53.13,53.12,53.13,4811.0
2020-02-10 15:03:00,53.125,53.13,53.12,53.125,11680.0
2020-02-10 15:04:00,53.13,53.13,53.12,53.125,23109.0
2020-02-10 15:05:00,53.13,53.13,53.12,53.13,22893.0
2020-02-10 15:06:00,53.13,53.13,53.12,53.125,10177.0
2020-02-10 15:07:00,53.125,53.13,53.125,53.13,8803.0
2020-02-10 15:08:00,53.125,53.13,53.12,53.13,63908.0
2020-02-10 15:09:00,53.13,53.13,53.12,53.13,13668.0
2020-02-10 15:10:00,53.125,53.13,53.12,53.13,7238.0
2020-02-10 15:11:00,53.13,53.13,53.12,53.13,9834.0
2020-02-10 15:12:00,53.13,53.13,53.12,53.13,14681.0
2020-02-10 15:13:00,53.13,53.13,53.12,53.12,0.0
2020-02-10 15:14:00,53.125,53.13,53.12,53.125,300235.0
2020-02-10 15:15:00,53.13,53.13,53.12,53.125,113049.0
2020-02-10 15:16:00,53.125,53.125,53.105,53.12,390515.0
2020-02-10 15:17:00,53.115,53.12,53.11,53.11,7522.0
2020-02-10 15:18:00,53.115,53.12,53.11,53.115,22866.0
2020-02-10 15:19:00,53.11,53.115,53.11,53.11,8659.0
2020-02-10 15:20:00,53.11,53.12,53.11,53.115,6213.0
2020-02-10 15:21:00,53.115,53.115,53.11,53.115,8944.0
2020-02-10 15:22:00,53.12,53.12,53.11,53.115,20562.0
2020-02-10 15:23:00,53.115,53.115,53.11,53.115,13326.0
2020-02-10 15:24:00,53.115,53.115,53.11,53.115,8696.0
2020-02-10 15:25:00,53.115,53.12,53.11,53.115,11943.0
2020-02-10 15:26:00,53.115,53.115,53.11,53.115,12580.0
2020-02-10 15:28:25,0,0,0,53.1150016784668,0
2020-02-10 15:29:28,0,0,0,53.1150016784668,0
2020-02-10 15:30:31,0,0,0,53.1150016784668,0
2020-02-10 15:31:35,0,0,0,53.1150016784668,0
